date,social distancing,search_interest_weight,rescaled_rsv,normalized_rescaled_rsv
2020-03-16,100,1.675977653631285,167.5977653631285,100.0
2020-03-17,64,1.675977653631285,107.26256983240224,64.0
2020-03-18,59,1.675977653631285,98.88268156424581,59.0
2020-03-19,50,1.675977653631285,83.79888268156425,50.0
2020-03-20,52,1.675977653631285,87.15083798882682,52.0
2020-03-21,33,1.675977653631285,55.3072625698324,32.99999999999999
2020-03-22,44,1.696153846153846,74.63076923076922,44.5296923076923
2020-03-23,36,1.696153846153846,61.061538461538454,36.433384615384604
2020-03-24,48,1.696153846153846,81.4153846153846,48.57784615384614
2020-03-25,44,1.696153846153846,74.63076923076922,44.5296923076923
2020-03-26,23,1.696153846153846,39.01153846153846,23.27688461538461
2020-03-27,39,1.696153846153846,66.14999999999999,39.46949999999999
2020-03-28,26,1.696153846153846,44.099999999999994,26.313
2020-03-29,26,1.6589595375722543,43.13294797687861,25.7359922928709
2020-03-30,31,1.6589595375722543,51.42774566473989,30.685221579961464
2020-03-31,26,1.6589595375722543,43.13294797687861,25.7359922928709
2020-04-01,24,1.6589595375722543,39.8150289017341,23.75630057803468
2020-04-02,25,1.6589595375722543,41.47398843930636,24.746146435452793
2020-04-03,19,1.6589595375722543,31.520231213872833,18.807071290944123
2020-04-04,22,1.6589595375722543,36.49710982658959,21.776608863198458
2020-04-05,19,1.8235294117647056,34.647058823529406,20.67274509803921
2020-04-06,22,1.8235294117647056,40.11764705882352,23.936862745098033
2020-04-07,24,1.8235294117647056,43.764705882352935,26.112941176470585
2020-04-08,20,1.8235294117647056,36.470588235294116,21.760784313725487
2020-04-09,17,1.8235294117647056,30.999999999999996,18.496666666666663
2020-04-10,0,1.8235294117647056,0.0,0.0
2020-04-11,17,1.8235294117647056,30.999999999999996,18.496666666666663
2020-04-12,18,0.9333333333333332,16.799999999999997,10.023999999999997
2020-04-13,25,0.9333333333333332,23.333333333333332,13.922222222222222
2020-04-14,26,0.9333333333333332,24.266666666666666,14.47911111111111
2020-04-15,30,0.9333333333333332,27.999999999999996,16.706666666666663
2020-04-16,57,0.9333333333333332,53.199999999999996,31.742666666666665
2020-04-17,80,0.9333333333333332,74.66666666666666,44.551111111111105
2020-04-18,79,0.9333333333333332,73.73333333333332,43.99422222222221
2020-04-19,0,0.7112299465240641,0.0,0.0
2020-04-20,62,0.7112299465240641,44.096256684491976,26.310766488413545
2020-04-21,80,0.7112299465240641,56.89839572192513,33.94937611408199
2020-04-22,69,0.7112299465240641,49.074866310160424,29.281336898395715
2020-04-23,61,0.7112299465240641,43.38502673796791,25.886399286987523
2020-04-24,52,0.7112299465240641,36.98395721925134,22.067094474153297
2020-04-25,50,0.7112299465240641,35.56149732620321,21.218360071301248
2020-04-26,0,0.6851851851851852,0.0,0.0
2020-04-27,63,0.6851851851851852,43.16666666666667,25.756111111111114
2020-04-28,49,0.6851851851851852,33.574074074074076,20.032530864197533
2020-04-29,55,0.6851851851851852,37.68518518518519,22.485493827160496
2020-04-30,92,0.6851851851851852,63.03703703703704,37.612098765432094
2020-05-01,51,0.6851851851851852,34.94444444444445,20.85018518518519
2020-05-02,68,0.6851851851851852,46.592592592592595,27.800246913580246
2020-05-03,54,0.6337448559670782,34.22222222222222,20.419259259259256
2020-05-04,58,0.6337448559670782,36.757201646090536,21.931796982167352
2020-05-05,52,0.6337448559670782,32.95473251028807,19.662990397805213
2020-05-06,78,0.6337448559670782,49.4320987654321,29.49448559670782
2020-05-07,83,0.6337448559670782,52.60082304526749,31.385157750342934
2020-05-08,100,0.6337448559670782,63.37448559670782,37.81344307270233
2020-05-09,61,0.6337448559670782,38.65843621399177,23.06620027434842
2020-05-10,59,0.6387832699619772,37.68821292775665,22.487300380228135
2020-05-11,68,0.6387832699619772,43.43726235741445,25.917566539923953
2020-05-12,70,0.6387832699619772,44.71482889733841,26.679847908745245
2020-05-13,70,0.6387832699619772,44.71482889733841,26.679847908745245
2020-05-14,94,0.6387832699619772,60.045627376425855,35.82722433460076
