date,rashes,search_interest_weight,rescaled_rsv,normalized_rescaled_rsv
2020-03-16,66,1.0529247910863508,69.49303621169915,45.79495013029022
2020-03-17,86,1.0529247910863508,90.55153203342617,59.67220774552968
2020-03-18,37,1.0529247910863508,38.95821727019498,25.672926588193
2020-03-19,58,1.0529247910863508,61.06963788300835,40.24404708419444
2020-03-20,64,1.0529247910863508,67.38718662952645,44.40722436876628
2020-03-21,48,1.0529247910863508,50.54038997214484,33.305418276574706
2020-03-22,94,0.9967637540453074,93.69579288025889,61.744232174548486
2020-03-23,99,0.9967637540453074,98.67961165048543,65.02849984340745
2020-03-24,91,0.9967637540453074,90.70550161812297,59.7736715732331
2020-03-25,74,0.9967637540453074,73.76051779935274,48.607161499112635
2020-03-26,80,0.9967637540453074,79.7411003236246,52.54828270174339
2020-03-27,85,0.9967637540453074,84.72491909385113,55.83255037060235
2020-03-28,95,0.9967637540453074,94.6925566343042,62.40108570832027
2020-03-29,88,0.9325259515570936,82.06228373702425,54.077910481080494
2020-03-30,98,0.9325259515570936,91.38754325259518,60.22312758120327
2020-03-31,70,0.9325259515570936,65.27681660899655,43.016519700859476
2020-04-01,77,0.9325259515570936,71.80449826989621,47.31817167094543
2020-04-02,100,0.9325259515570936,93.25259515570936,61.45217100122782
2020-04-03,73,0.9325259515570936,68.07439446366783,44.860084830896305
2020-04-04,72,0.9325259515570936,67.14186851211073,44.24556312088403
2020-04-05,53,0.9218106995884774,48.8559670781893,32.19540687641046
2020-04-06,73,0.9218106995884774,67.29218106995884,44.34461701845214
2020-04-07,86,0.9218106995884774,79.27572016460906,52.24160361077923
2020-04-08,64,0.9218106995884774,58.99588477366255,38.87747245453338
2020-04-09,66,0.9218106995884774,60.839506172839506,40.092393468737555
2020-04-10,70,0.9218106995884774,64.52674897119341,42.522235497145886
2020-04-11,74,0.9218106995884774,68.21399176954732,44.95207752555422
2020-04-12,70,1.079229122055675,75.54603854389724,49.783794985148866
2020-04-13,99,1.079229122055675,106.84368308351182,70.40851005042484
2020-04-14,85,1.079229122055675,91.73447537473237,60.451751053395064
2020-04-15,57,1.079229122055675,61.51605995717347,40.53823305933551
2020-04-16,51,1.079229122055675,55.04068522483942,36.27105063203703
2020-04-17,48,1.079229122055675,51.8029978586724,34.1374594183878
2020-04-18,57,1.079229122055675,61.51605995717347,40.53823305933551
2020-04-19,46,1.5493333333333337,71.26933333333335,46.96550537634409
2020-04-20,41,1.5493333333333337,63.52266666666668,41.860559139784954
2020-04-21,40,1.5493333333333337,61.97333333333334,40.83956989247312
2020-04-22,52,1.5493333333333337,80.56533333333336,53.091440860215066
2020-04-23,53,1.5493333333333337,82.11466666666668,54.11243010752689
2020-04-24,71,1.5493333333333337,110.00266666666668,72.49023655913979
2020-04-25,72,1.5493333333333337,111.55200000000002,73.51122580645162
2020-04-26,62,1.5555555555555556,96.44444444444444,63.55555555555556
2020-04-27,76,1.5555555555555556,118.22222222222223,77.90681003584228
2020-04-28,46,1.5555555555555556,71.55555555555556,47.15412186379928
2020-04-29,46,1.5555555555555556,71.55555555555556,47.15412186379928
2020-04-30,49,1.5555555555555556,76.22222222222223,50.22939068100358
2020-05-01,64,1.5555555555555556,99.55555555555556,65.60573476702508
2020-05-02,71,1.5555555555555556,110.44444444444444,72.78136200716845
2020-05-03,45,1.5849056603773586,71.32075471698114,46.99939135727328
2020-05-04,41,1.5849056603773586,64.9811320754717,42.82166768107121
2020-05-05,52,1.5849056603773586,82.41509433962264,54.310407790626904
2020-05-06,76,1.5849056603773586,120.45283018867926,79.37674984783932
2020-05-07,56,1.5849056603773586,88.75471698113208,58.48813146682896
2020-05-08,63,1.5849056603773586,99.84905660377359,65.79914790018259
2020-05-09,91,1.5849056603773586,144.22641509433964,95.04321363359708
2020-05-10,80,1.5174825174825175,121.3986013986014,80.0
2020-05-11,78,1.5174825174825175,118.36363636363636,77.99999999999999
2020-05-12,100,1.5174825174825175,151.74825174825176,100.0
2020-05-13,43,1.5174825174825175,65.25174825174825,43.0
2020-05-14,44,1.5174825174825175,66.76923076923077,44.0
2020-05-15,38,1.5174825174825175,57.66433566433567,38.0
2020-05-16,46,1.5174825174825175,69.8041958041958,45.99999999999999
2020-05-17,69,1.2727272727272727,87.81818181818181,57.87096774193547
2020-05-18,67,1.2727272727272727,85.27272727272727,56.19354838709677
2020-05-19,85,1.2727272727272727,108.18181818181819,71.29032258064515
2020-05-20,77,1.2727272727272727,98.0,64.58064516129032
2020-05-21,94,1.2727272727272727,119.63636363636364,78.83870967741935
2020-05-22,100,1.2727272727272727,127.27272727272727,83.87096774193547
2020-05-23,58,1.2727272727272727,73.81818181818181,48.64516129032258
2020-05-24,76,1.2877358490566038,97.86792452830188,64.49360925136945
2020-05-25,71,1.2877358490566038,91.42924528301887,60.250608642726725
2020-05-26,69,1.2877358490566038,88.85377358490565,58.55340839926962
2020-05-27,66,1.2877358490566038,84.99056603773585,56.00760803408399
2020-05-28,39,1.2877358490566038,50.221698113207545,33.09540474741326
2020-05-29,60,1.2877358490566038,77.26415094339623,50.91600730371272
2020-05-30,43,1.2877358490566038,55.37264150943396,36.48980523432744
2020-05-31,81,1.1022494887525562,89.28220858895706,58.83574114387492
2020-06-01,70,1.1022494887525562,77.15746421267893,50.84570222310178
2020-06-02,80,1.1022494887525562,88.1799591002045,58.10937396925918
2020-06-03,56,1.1022494887525562,61.72597137014315,40.67656177848143
2020-06-04,73,1.1022494887525562,80.4642126789366,53.024803746949004
2020-06-05,58,1.1022494887525562,63.93047034764826,42.129296127712905
2020-06-06,71,1.1022494887525562,78.2597137014315,51.57206939771753
2020-06-07,63,1.2962962962962965,81.66666666666669,53.81720430107527
2020-06-08,67,1.2962962962962965,86.85185185185186,57.23416965352449
2020-06-09,42,1.2962962962962965,54.44444444444445,35.878136200716845
2020-06-10,55,1.2962962962962965,71.2962962962963,46.98327359617682
2020-06-11,52,1.2962962962962965,67.40740740740742,44.42054958183991
2020-06-12,51,1.2962962962962965,66.11111111111113,43.56630824372761
2020-06-13,48,1.2962962962962965,62.22222222222223,41.00358422939068
2020-06-14,57,1.0022371364653244,57.12751677852349,37.646243775709024
2020-06-15,39,1.0022371364653244,39.08724832214765,25.757956267590387
2020-06-16,67,1.0022371364653244,67.14988814317674,44.250847946886054
2020-06-17,77,1.0022371364653244,77.17225950782998,50.85545211806307
2020-06-18,62,1.0022371364653244,62.13870246085011,40.94854586129754
2020-06-19,71,1.0022371364653244,71.15883668903804,46.89268961535686
2020-06-20,74,1.0022371364653244,74.165548098434,48.874070866709964
2020-06-21,52,0.8554216867469879,44.48192771084337,29.312975403919822
2020-06-22,94,0.8554216867469879,80.40963855421687,52.98884015323968
2020-06-23,76,0.8554216867469879,65.01204819277109,42.842040974959744
2020-06-24,100,0.8554216867469879,85.54216867469879,56.37110654599966
2020-06-25,88,0.8554216867469879,75.27710843373494,49.6065737604797
2020-06-26,88,0.8554216867469879,75.27710843373494,49.6065737604797
2020-06-27,83,0.8554216867469879,71.0,46.788018433179715
2020-06-28,60,0.790893760539629,47.453625632377744,31.27128325082957
2020-06-29,80,0.790893760539629,63.27150084317032,41.69504433443942
2020-06-30,82,0.790893760539629,64.85328836424958,42.73742044280041
2020-07-01,83,0.790893760539629,65.64418212478921,43.258608496980905
2020-07-02,95,0.790893760539629,75.13490725126475,49.51286514714681
2020-07-03,98,0.790893760539629,77.50758853288364,51.0764293096883
2020-07-04,95,0.790893760539629,75.13490725126475,49.51286514714681
2020-07-05,85,0.9522058823529412,80.9375,53.336693548387096
2020-07-06,77,0.9522058823529412,73.31985294117648,48.316769449715366
2020-07-07,56,0.9522058823529412,53.32352941176471,35.13946869070209
2020-07-08,71,0.9522058823529412,67.60661764705883,44.55182637571157
2020-07-09,89,0.9522058823529412,84.74632352941177,55.84665559772296
2020-07-10,80,0.9522058823529412,76.1764705882353,50.19924098671728
2020-07-11,86,0.9522058823529412,81.88970588235294,53.96418406072105
2020-07-12,90,0.904424778761062,81.39823008849558,53.640308307165284
2020-07-13,86,0.904424778761062,77.78053097345133,51.25629460462461
2020-07-14,80,0.904424778761062,72.35398230088495,47.68027405081358
2020-07-15,67,0.904424778761062,60.59646017699115,39.93222951755638
2020-07-16,75,0.904424778761062,67.83185840707965,44.700256922637735
2020-07-17,96,0.904424778761062,86.82477876106195,57.216328860976304
2020-07-18,71,0.904424778761062,64.2141592920354,42.316243220097064
2020-07-19,100,1.289079229122056,128.9079229122056,84.94853906196037
2020-07-20,79,1.289079229122056,101.83725910064243,67.10934585894869
2020-07-21,87,1.289079229122056,112.14989293361887,73.90522898390552
2020-07-22,37,1.289079229122056,47.695931477516076,31.43095945292534
2020-07-23,58,1.289079229122056,74.76659528907925,49.27015265593701
2020-07-24,43,1.289079229122056,55.43040685224841,36.527871796642955
2020-07-25,63,1.289079229122056,81.21199143468954,53.51757960903504
2020-07-26,62,1.2,74.39999999999999,49.028571428571425
2020-07-27,78,1.2,93.6,61.6811059907834
2020-07-28,59,1.2,70.8,46.65622119815668
2020-07-29,50,1.2,60.0,39.53917050691244
2020-07-30,59,1.2,70.8,46.65622119815668
2020-07-31,48,1.2,57.599999999999994,37.957603686635935
2020-08-01,64,1.2,76.8,50.610138248847925
2020-08-02,81,1.180522565320665,95.62232779097387,63.01379204658646
2020-08-03,62,1.180522565320665,73.19239904988123,48.232779097387166
2020-08-04,56,1.180522565320665,66.10926365795724,43.565090797640025
2020-08-05,55,1.180522565320665,64.92874109263657,42.78714274768216
2020-08-06,70,1.180522565320665,82.63657957244655,54.456363497050035
2020-08-07,57,1.180522565320665,67.2897862232779,44.343038847597875
