,flu,cough,fever,headache,lagnat,rashes,sipon,ubo,ecq,face shield,Frontliners,masks,Quarantine,social distancing,work from home
flu,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cough,0.4872599628510681,1.0000000000000056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fever,0.5088171406210087,0.5600375894288254,0.9999999999999972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
headache,0.2387143728869085,0.2914764476411252,0.3577399080115796,0.9999999999999871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lagnat,0.2580776168378509,0.26534855054857615,0.2199442263740277,0.19510757116629152,0.9999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rashes,0.29022706202102155,0.3214577230806309,0.28690875872475646,0.29466470141858925,0.34148747327839973,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sipon,0.2919678763264991,0.3154800223952429,0.34084851582650116,0.250938534057425,0.21550441547108634,0.4508057736633415,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ubo,0.40972035137757623,0.2565162940436054,0.32783818074423177,0.1860263950170292,0.19829854122777973,0.22365124928362104,0.19336654910364667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ecq,0.24495997042381026,0.37919949236290573,0.48808283399169844,0.3400604623288062,0.2785998804318518,0.22777005630368746,0.42035152704124235,0.3448805764530261,1.0000000000000009,0.0,0.0,0.0,0.0,0.0,0.0
face shield,0.5159808514794005,0.4459868273690944,0.26892785935464175,0.2719500052301392,0.32377938181950144,0.2911476675421495,0.31547235141826324,0.2759293004410694,0.2954109562630744,1.0,0.0,0.0,0.0,0.0,0.0
Frontliners,0.4577231365038647,0.3970920400658963,0.4338471580979137,0.28280440764295506,0.21111656676085194,0.3644506501360863,0.3152862480957111,0.22353281429887936,0.36298427776858777,0.4146387011638102,1.000000000000001,0.0,0.0,0.0,0.0
masks,0.4844532571690397,0.29629402646797615,0.2664027945932225,0.29298061532961706,0.44581226572442534,0.48388731260447904,0.2721918188591111,0.34368093938729033,0.28239541054253325,0.5425264127968827,0.49679673751165093,1.0000000000000024,0.0,0.0,0.0
Quarantine,0.6794187870903813,0.5073891059149612,0.32855694728012175,0.3100496644975486,0.3717046324377074,0.3407072946649446,0.31741418910213914,0.393164362366825,0.6196378240620607,0.3441096567388869,0.31949048882948333,0.37962475913367366,1.0000000000000013,0.0,0.0
social distancing,0.7479519440134081,0.32119523763212227,0.37112561651340403,0.2912171096162777,0.18884599955088122,0.32568906569551737,0.3458768658803512,0.254343540788977,0.308940783486018,0.3879261515777211,0.4026927694780694,0.31706186520955865,0.6157561266012116,0.9999999999999996,0.0
work from home,0.6855688090307059,0.30225119283257484,0.2660684923979573,0.421103997418934,0.19533154364000668,0.4311706725492942,0.2639851033295366,0.24080389798410212,0.40239242751948917,0.3428317094099036,0.408979094145139,0.3513710676008517,0.7120308533267341,0.817941554058556,1.0000000000000007
