,flu,cough,fever,headache,lagnat,rashes,sipon,ubo,ecq,face shield,Frontliners,masks,Quarantine,social distancing,work from home
flu,1.0000000000000027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cough,0.22880689180034672,0.9999999999999948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fever,0.30790034756031026,0.24827259035480467,0.9999999999999868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
headache,0.282658236911247,0.3017763240682846,0.21348078581529237,1.0000000000000098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lagnat,0.3619869765762797,0.16997734981414073,0.16934722567947266,0.12741013525043762,1.0000000000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rashes,0.24451486840203523,0.2866715571450333,0.2956334846546852,0.42730514538861153,0.18018200946917548,0.9999999999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sipon,0.33424680532542866,0.2927597725721818,0.24677830874955514,0.28575194991005975,0.3397904759206054,0.35487171069829154,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ubo,0.2130415542318654,0.21062100741495643,0.2679766085792021,0.2675127585084281,0.3323046515686508,0.3948469573408212,0.2842771117498915,0.9999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ecq,0.19977924258610052,0.6819056054730834,0.3039663730315874,0.21922236032168996,0.1364187830640599,0.22373812311328392,0.41863029449261807,0.29267109874758573,0.9999999999999993,0.0,0.0,0.0,0.0,0.0,0.0
face shield,0.2379183600595036,0.29030791980194415,0.3524847833887596,0.3850438344389628,0.11960876681194466,0.2961675842724818,0.2735765824415773,0.36079239248267897,0.4295440250210673,1.0000000000000062,0.0,0.0,0.0,0.0,0.0
Frontliners,0.18356022634578986,0.4237678981965648,0.3983547955449324,0.4208683504206306,0.13226304207647235,0.3801358919989407,0.27536749021406254,0.2968654548363938,0.5279643003329352,0.46161983667158296,1.0000000000000002,0.0,0.0,0.0,0.0
masks,0.17205682248970589,0.45830838395451046,0.2362297254690984,0.28442122198435454,0.12872894215584207,0.3922107497219045,0.5063604354476308,0.4017718581928685,0.5242378581694453,0.5180260988620294,0.35722513335986283,1.0000000000000002,0.0,0.0,0.0
Quarantine,0.35657545374533706,0.43045991005391177,0.36872336421267043,0.2561504498838026,0.23530066045070688,0.3199299976103412,0.3411141217831134,0.3374985064739225,0.4725179798160002,0.5584735953427746,0.4277605641144355,0.6054294403011513,0.999999999999996,0.0,0.0
social distancing,0.25470344168764336,0.19924896914043494,0.17360190014844645,0.2914921169874855,0.11938675856241023,0.3561866668513724,0.2969894352771864,0.22083977449568817,0.4713087054880216,0.3100911086997249,0.6526925960114439,0.22396030056332386,0.41661372723964746,0.9999999999999998,0.0
work from home,0.2705627247081887,0.36771430867177296,0.32373697284246045,0.25052376829457107,0.1628580293908859,0.3370816623308582,0.2416173602370137,0.39414750562049883,0.422203992152993,0.46889786929593813,0.34509217729491826,0.26535493076269356,0.3972222950470438,0.3131897297808727,1.0000000000000004
