,flu,cough,fever,headache,lagnat,rashes,sipon,ubo,ecq,face shield,Frontliners,masks,Quarantine,social distancing,work from home
flu,1.0000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cough,0.4673882001655403,1.0000000000000142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fever,0.26722847521417475,0.3478520250888633,1.0000000000000067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
headache,0.32994008800816826,0.30493025626923,0.2407836631168769,0.9999999999999893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lagnat,0.17034243728038273,0.21250579068690914,0.23563421869805856,0.25703753206552177,0.9999999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rashes,0.2898558811771524,0.25847440231498997,0.2136958030449589,0.4042256586350751,0.3682325454676104,0.9999999999999983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sipon,0.3572818130838153,0.24499121327978002,0.35440506421131646,0.26095217715574465,0.3221806457539026,0.28393862261062375,1.0000000000000038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ubo,0.36455642997301535,0.30828040251275557,0.402681231127769,0.3030688959515087,0.1815634203814659,0.35991498904755587,0.23518989027705578,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ecq,0.2240068984565012,0.21482700293340626,0.2649896038402969,0.2531204475706515,0.12467867666275312,0.27667390936110425,0.19863954138818618,0.22991760252692778,0.9999999999999989,0.0,0.0,0.0,0.0,0.0,0.0
face shield,0.4100695994001654,0.2826540009780388,0.2351152913454088,0.39953913635103544,0.20222945469200626,0.4602149500994403,0.3316234522849014,0.2931345361547729,0.28325145739668506,1.0000000000000029,0.0,0.0,0.0,0.0,0.0
Frontliners,0.32926697911085623,0.22729046688199234,0.5188096882330188,0.24433964647789905,0.26095051095213695,0.2644289501737195,0.2917087210405238,0.2467458624477887,0.3055296829624328,0.27042706414981205,1.0,0.0,0.0,0.0,0.0
masks,0.34809187772061406,0.2722248840970193,0.34220665518692184,0.23548359847357084,0.2573599639634766,0.31075926083945493,0.2730112475293244,0.37600344570895106,0.2835982748391408,0.3547367666611575,0.22150340443161814,0.9999999999999972,0.0,0.0,0.0
Quarantine,0.29272180684402976,0.2573836522066238,0.41927278344456603,0.2522460585769644,0.22415700803289848,0.27200160098749254,0.37688888472271664,0.2536277139932166,0.4854565640455184,0.4819021384668794,0.3159378541345552,0.25434624110096643,1.0000000000000004,0.0,0.0
social distancing,0.19750064977526227,0.18174914485163968,0.3374960210313837,0.2211279080685161,0.2741735710290363,0.17448223115328765,0.22368138014829203,0.3490992304479529,0.2666921699015724,0.15937178712575506,0.44117634648815024,0.14381658328670247,0.1601215778160841,1.0000000000000009,0.0
work from home,0.319668358833733,0.3267461947220852,0.3083318437247761,0.2701081933688158,0.3699328799401669,0.3432554197109176,0.24715905245606734,0.2971307840546149,0.21385841298441238,0.3728175320805213,0.24691082294352762,0.30456559303940917,0.2672183076833971,0.2604359990113047,0.9999999999999969
