,flu,cough,fever,headache,lagnat,rashes,sipon,ubo,ecq,face shield,Frontliners,masks,Quarantine,social distancing,work from home
flu,0.9999999999999956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cough,0.24296769411374863,1.0000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fever,0.25372654491416247,0.25166086326636933,1.0000000000000102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
headache,0.33386720646557366,0.2605620801782707,0.34382300696481416,0.9999999999999928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lagnat,0.23964717145059156,0.2169661735139959,0.16959965743217947,0.4518606932445828,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rashes,0.23349457902236476,0.23984257754427266,0.5857364491279891,0.45716834002790124,0.2556732934120411,0.9999999999999981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sipon,0.27615672874285163,0.3218239075076093,0.2144445431574785,0.23804179319038984,0.09921390480263734,0.28648912118238123,1.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ubo,0.24967608142944636,0.24323612228196478,0.25891888912025596,0.2808071712649726,0.15875623247905407,0.14900658420631982,0.34203010363231384,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ecq,0.32915185831173804,0.31811664479458623,0.33604420075321345,0.23590345824603437,0.1154479250637103,0.2030709181935167,0.4899523876981476,0.31441165873494026,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0
face shield,0.3502945727321237,0.39517478167991593,0.4176407682054026,0.26046715848791663,0.15248445634291433,0.2876513802158063,0.3519998616295841,0.28130997903968835,0.32727322445828344,0.9999999999999996,0.0,0.0,0.0,0.0,0.0
Frontliners,0.3598653107335482,0.24569236161004016,0.5058221995694945,0.4398442759462025,0.11359345178896199,0.2849450169553979,0.31453666009556025,0.4100622817599344,0.391418253370867,0.2550725516224639,0.9999999999999996,0.0,0.0,0.0,0.0
masks,0.3843757227663242,0.2557276816647833,0.2926799965166412,0.2940825003422803,0.25857365737965265,0.4521588427955712,0.23293228579251657,0.28334904867377764,0.228703644437292,0.34936897087016416,0.37457143414355976,1.0000000000000027,0.0,0.0,0.0
Quarantine,0.4388644374142858,0.36596605690310163,0.28766611662878516,0.3055559108955466,0.14270641271017329,0.26817066165811876,0.5431013141412713,0.32934911953105483,0.8414369780562969,0.3557631213794321,0.3712563308069173,0.25023520356162293,0.9999999999999991,0.0,0.0
social distancing,0.2928628859970811,0.322765813174484,0.36365524181273196,0.2979178262178897,0.24886303168175777,0.3235391160619422,0.45864840649846106,0.42296834811155004,0.30582295424685324,0.300197165088507,0.3752194753482232,0.33813179958752015,0.3697910559217107,0.9999999999999974,0.0
work from home,0.25037657695908183,0.3681949834600258,0.3036438407672741,0.2595614932825784,0.1794401323823179,0.2567939215478117,0.5866002127048691,0.393914110735678,0.4926360367253888,0.27923926355665973,0.3365895179701775,0.24034986863146787,0.42294770683415084,0.6388055524498153,0.9999999999999919
