date,ubo,isPartial
2020-07-13,59,False
2020-07-14,68,False
2020-07-15,56,False
2020-07-16,55,False
2020-07-17,67,False
2020-07-18,80,False
2020-07-19,61,False
2020-07-20,66,False
2020-07-21,59,False
2020-07-22,62,False
2020-07-23,44,False
2020-07-24,60,False
2020-07-25,0,False
2020-07-26,74,False
2020-07-27,56,False
2020-07-28,57,False
2020-07-29,95,False
2020-07-30,0,False
2020-07-31,58,False
2020-08-01,100,False
2020-08-02,62,False
2020-08-03,51,False
2020-08-04,67,False
2020-08-05,78,False
2020-08-06,53,False
2020-08-07,53,False
2020-08-08,46,False
2020-08-09,55,False
2020-08-10,77,False
2020-08-11,0,False
2020-08-12,40,False
