date,ubo,isPartial
2020-11-28,0,False
2020-11-29,77,False
2020-11-30,47,False
2020-12-01,52,False
2020-12-02,47,False
2020-12-03,52,False
2020-12-04,56,False
2020-12-05,59,False
2020-12-06,66,False
2020-12-07,43,False
2020-12-08,67,False
2020-12-09,69,False
2020-12-10,0,False
2020-12-11,0,False
2020-12-12,50,False
2020-12-13,79,False
2020-12-14,45,False
2020-12-15,47,False
2020-12-16,68,False
2020-12-17,54,False
2020-12-18,46,False
2020-12-19,0,False
2020-12-20,0,False
2020-12-21,0,False
2020-12-22,53,False
2020-12-23,0,False
2020-12-24,73,False
2020-12-25,0,False
2020-12-26,52,False
2020-12-27,100,False
2020-12-28,70,False
