date,ubo,isPartial
2020-10-27,65,False
2020-10-28,0,False
2020-10-29,67,False
2020-10-30,65,False
2020-10-31,60,False
2020-11-01,69,False
2020-11-02,0,False
2020-11-03,0,False
2020-11-04,62,False
2020-11-05,45,False
2020-11-06,49,False
2020-11-07,70,False
2020-11-08,79,False
2020-11-09,46,False
2020-11-10,0,False
2020-11-11,0,False
2020-11-12,70,False
2020-11-13,94,False
2020-11-14,80,False
2020-11-15,0,False
2020-11-16,0,False
2020-11-17,67,False
2020-11-18,100,False
2020-11-19,0,False
2020-11-20,0,False
2020-11-21,91,False
2020-11-22,84,False
2020-11-23,59,False
2020-11-24,66,False
2020-11-25,82,False
2020-11-26,92,False
