date,ubo,isPartial
2021-01-21,66,False
2021-01-22,100,False
2021-01-23,80,False
2021-01-24,0,False
2021-01-25,46,False
2021-01-26,40,False
2021-01-27,59,False
2021-01-28,66,False
2021-01-29,63,False
2021-01-30,80,False
2021-01-31,87,False
2021-02-01,42,False
2021-02-02,81,False
2021-02-03,71,False
2021-02-04,75,False
2021-02-05,0,False
2021-02-06,0,False
2021-02-07,97,False
2021-02-08,57,False
2021-02-09,85,False
2021-02-10,68,False
2021-02-11,86,False
2021-02-12,89,False
2021-02-13,75,False
2021-02-14,0,False
2021-02-15,44,False
2021-02-16,85,False
2021-02-17,56,False
2021-02-18,68,False
2021-02-19,65,False
2021-02-20,79,False
