date,ubo,isPartial
2020-03-19,76,False
2020-03-20,92,False
2020-03-21,88,False
2020-03-22,47,False
2020-03-23,88,False
2020-03-24,74,False
2020-03-25,87,False
2020-03-26,100,False
2020-03-27,74,False
2020-03-28,86,False
2020-03-29,46,False
2020-03-30,44,False
2020-03-31,44,False
2020-04-01,49,False
2020-04-02,83,False
2020-04-03,30,False
2020-04-04,46,False
2020-04-05,0,False
2020-04-06,38,False
2020-04-07,0,False
2020-04-08,48,False
2020-04-09,56,False
2020-04-10,0,False
2020-04-11,54,False
2020-04-12,42,False
2020-04-13,57,False
2020-04-14,43,False
2020-04-15,38,False
2020-04-16,31,False
2020-04-17,0,False
2020-04-18,31,False
