date,ecq,isPartial
2020-05-14,100,False
2020-05-15,81,False
2020-05-16,76,False
2020-05-17,54,False
2020-05-18,51,False
2020-05-19,39,False
2020-05-20,32,False
2020-05-21,45,False
2020-05-22,34,False
2020-05-23,26,False
2020-05-24,24,False
2020-05-25,31,False
2020-05-26,37,False
2020-05-27,31,False
2020-05-28,34,False
2020-05-29,31,False
2020-05-30,20,False
2020-05-31,19,False
2020-06-01,24,False
2020-06-02,18,False
2020-06-03,17,False
2020-06-04,14,False
2020-06-05,14,False
2020-06-06,13,False
2020-06-07,11,False
2020-06-08,16,False
2020-06-09,16,False
2020-06-10,18,False
2020-06-11,23,False
2020-06-12,35,False
2020-06-13,50,False
