date,ecq,isPartial
2020-03-24,3,False
2020-03-25,6,False
2020-03-26,4,False
2020-03-27,6,False
2020-03-28,6,False
2020-03-29,7,False
2020-03-30,9,False
2020-03-31,12,False
2020-04-01,14,False
2020-04-02,18,False
2020-04-03,19,False
2020-04-04,20,False
2020-04-05,23,False
2020-04-06,52,False
2020-04-07,51,False
2020-04-08,24,False
2020-04-09,15,False
2020-04-10,15,False
2020-04-11,15,False
2020-04-12,21,False
2020-04-13,28,False
2020-04-14,27,False
2020-04-15,33,False
2020-04-16,34,False
2020-04-17,30,False
2020-04-18,30,False
2020-04-19,38,False
2020-04-20,46,False
2020-04-21,48,False
2020-04-22,48,False
2020-04-23,100,False
