date,ecq,isPartial
2020-08-23,50,False
2020-08-24,65,False
2020-08-25,64,False
2020-08-26,55,False
2020-08-27,51,False
2020-08-28,68,False
2020-08-29,0,False
2020-08-30,46,False
2020-08-31,94,False
2020-09-01,100,False
2020-09-02,48,False
2020-09-03,50,False
2020-09-04,50,False
2020-09-05,43,False
2020-09-06,37,False
2020-09-07,67,False
2020-09-08,59,False
2020-09-09,36,False
2020-09-10,43,False
2020-09-11,42,False
2020-09-12,43,False
2020-09-13,39,False
2020-09-14,50,False
2020-09-15,44,False
2020-09-16,45,False
2020-09-17,42,False
2020-09-18,42,False
2020-09-19,27,False
2020-09-20,0,False
2020-09-21,39,False
2020-09-22,48,False
