date,Frontliners,isPartial
2020-05-21,98,False
2020-05-22,73,False
2020-05-23,94,False
2020-05-24,100,False
2020-05-25,82,False
2020-05-26,96,False
2020-05-27,81,False
2020-05-28,86,False
2020-05-29,61,False
2020-05-30,48,False
2020-05-31,68,False
2020-06-01,39,False
2020-06-02,47,False
2020-06-03,83,False
2020-06-04,70,False
2020-06-05,62,False
2020-06-06,63,False
2020-06-07,44,False
2020-06-08,0,False
2020-06-09,81,False
2020-06-10,0,False
2020-06-11,45,False
2020-06-12,53,False
2020-06-13,0,False
2020-06-14,45,False
2020-06-15,0,False
2020-06-16,0,False
2020-06-17,0,False
2020-06-18,47,False
2020-06-19,0,False
2020-06-20,53,False
