date,Frontliners,isPartial
2020-08-05,38,False
2020-08-06,27,False
2020-08-07,31,False
2020-08-08,0,False
2020-08-09,22,False
2020-08-10,24,False
2020-08-11,32,False
2020-08-12,26,False
2020-08-13,31,False
2020-08-14,0,False
2020-08-15,17,False
2020-08-16,20,False
2020-08-17,30,False
2020-08-18,59,False
2020-08-19,28,False
2020-08-20,39,False
2020-08-21,40,False
2020-08-22,18,False
2020-08-23,42,False
2020-08-24,27,False
2020-08-25,28,False
2020-08-26,40,False
2020-08-27,61,False
2020-08-28,56,False
2020-08-29,77,False
2020-08-30,92,False
2020-08-31,100,False
2020-09-01,38,False
2020-09-02,53,False
2020-09-03,40,False
2020-09-04,26,False
