date,Frontliners,isPartial
2020-10-10,74,False
2020-10-11,68,False
2020-10-12,94,False
2020-10-13,70,False
2020-10-14,92,False
2020-10-15,86,False
2020-10-16,78,False
2020-10-17,61,False
2020-10-18,79,False
2020-10-19,71,False
2020-10-20,80,False
2020-10-21,77,False
2020-10-22,77,False
2020-10-23,68,False
2020-10-24,59,False
2020-10-25,44,False
2020-10-26,47,False
2020-10-27,88,False
2020-10-28,82,False
2020-10-29,100,False
2020-10-30,81,False
2020-10-31,54,False
2020-11-01,0,False
2020-11-02,60,False
2020-11-03,82,False
2020-11-04,69,False
2020-11-05,78,False
2020-11-06,33,False
2020-11-07,59,False
2020-11-08,55,False
2020-11-09,54,False
