date,Frontliners,isPartial
2020-03-19,29,False
2020-03-20,30,False
2020-03-21,26,False
2020-03-22,53,False
2020-03-23,56,False
2020-03-24,67,False
2020-03-25,60,False
2020-03-26,67,False
2020-03-27,73,False
2020-03-28,84,False
2020-03-29,77,False
2020-03-30,75,False
2020-03-31,84,False
2020-04-01,82,False
2020-04-02,96,False
2020-04-03,100,False
2020-04-04,98,False
2020-04-05,87,False
2020-04-06,82,False
2020-04-07,69,False
2020-04-08,75,False
2020-04-09,70,False
2020-04-10,55,False
2020-04-11,46,False
2020-04-12,46,False
2020-04-13,51,False
2020-04-14,52,False
2020-04-15,64,False
2020-04-16,57,False
2020-04-17,62,False
2020-04-18,58,False
