date,Frontliners,isPartial
2020-09-05,64,False
2020-09-06,65,False
2020-09-07,51,False
2020-09-08,71,False
2020-09-09,45,False
2020-09-10,72,False
2020-09-11,99,False
2020-09-12,43,False
2020-09-13,43,False
2020-09-14,69,False
2020-09-15,43,False
2020-09-16,86,False
2020-09-17,69,False
2020-09-18,49,False
2020-09-19,62,False
2020-09-20,0,False
2020-09-21,58,False
2020-09-22,81,False
2020-09-23,53,False
2020-09-24,87,False
2020-09-25,49,False
2020-09-26,35,False
2020-09-27,49,False
2020-09-28,50,False
2020-09-29,67,False
2020-09-30,70,False
2020-10-01,68,False
2020-10-02,82,False
2020-10-03,70,False
2020-10-04,91,False
2020-10-05,100,False
