date,Frontliners,isPartial
2020-05-17,93,False
2020-05-18,90,False
2020-05-19,78,False
2020-05-20,81,False
2020-05-21,100,False
2020-05-22,70,False
2020-05-23,92,False
2020-05-24,79,False
2020-05-25,92,False
2020-05-26,96,False
2020-05-27,65,False
2020-05-28,65,False
2020-05-29,53,False
2020-05-30,0,False
2020-05-31,85,False
2020-06-01,66,False
2020-06-02,0,False
2020-06-03,65,False
2020-06-04,58,False
2020-06-05,47,False
2020-06-06,58,False
2020-06-07,0,False
2020-06-08,38,False
2020-06-09,0,False
2020-06-10,0,False
2020-06-11,49,False
2020-06-12,55,False
2020-06-13,51,False
2020-06-14,44,False
2020-06-15,71,False
2020-06-16,42,False
