date,Frontliners,isPartial
2020-05-26,100,False
2020-05-27,68,False
2020-05-28,67,False
2020-05-29,56,False
2020-05-30,0,False
2020-05-31,88,False
2020-06-01,69,False
2020-06-02,0,False
2020-06-03,67,False
2020-06-04,60,False
2020-06-05,49,False
2020-06-06,61,False
2020-06-07,0,False
2020-06-08,39,False
2020-06-09,0,False
2020-06-10,0,False
2020-06-11,51,False
2020-06-12,58,False
2020-06-13,53,False
2020-06-14,45,False
2020-06-15,73,False
2020-06-16,43,False
2020-06-17,0,False
2020-06-18,0,False
2020-06-19,38,False
2020-06-20,45,False
2020-06-21,0,False
2020-06-22,43,False
2020-06-23,0,False
2020-06-24,0,False
2020-06-25,44,False
