date,Frontliners,isPartial
2020-11-12,0,False
2020-11-13,0,False
2020-11-14,62,False
2020-11-15,0,False
2020-11-16,60,False
2020-11-17,52,False
2020-11-18,31,False
2020-11-19,64,False
2020-11-20,65,False
2020-11-21,0,False
2020-11-22,40,False
2020-11-23,54,False
2020-11-24,64,False
2020-11-25,36,False
2020-11-26,79,False
2020-11-27,51,False
2020-11-28,56,False
2020-11-29,0,False
2020-11-30,50,False
2020-12-01,67,False
2020-12-02,100,False
2020-12-03,67,False
2020-12-04,75,False
2020-12-05,0,False
2020-12-06,65,False
2020-12-07,68,False
2020-12-08,65,False
2020-12-09,59,False
2020-12-10,85,False
2020-12-11,52,False
2020-12-12,0,False
