date,Frontliners,isPartial
2020-07-31,24,False
2020-08-01,48,False
2020-08-02,80,False
2020-08-03,88,False
2020-08-04,54,False
2020-08-05,41,False
2020-08-06,29,False
2020-08-07,34,False
2020-08-08,0,False
2020-08-09,24,False
2020-08-10,26,False
2020-08-11,35,False
2020-08-12,28,False
2020-08-13,34,False
2020-08-14,0,False
2020-08-15,18,False
2020-08-16,21,False
2020-08-17,33,False
2020-08-18,64,False
2020-08-19,30,False
2020-08-20,43,False
2020-08-21,43,False
2020-08-22,20,False
2020-08-23,46,False
2020-08-24,29,False
2020-08-25,30,False
2020-08-26,43,False
2020-08-27,67,False
2020-08-28,61,False
2020-08-29,84,False
2020-08-30,100,False
