date,Frontliners,isPartial
2020-05-28,100,False
2020-05-29,63,False
2020-05-30,88,False
2020-05-31,97,False
2020-06-01,61,False
2020-06-02,70,False
2020-06-03,94,False
2020-06-04,68,False
2020-06-05,0,False
2020-06-06,81,False
2020-06-07,0,False
2020-06-08,0,False
2020-06-09,85,False
2020-06-10,50,False
2020-06-11,64,False
2020-06-12,53,False
2020-06-13,0,False
2020-06-14,50,False
2020-06-15,0,False
2020-06-16,0,False
2020-06-17,0,False
2020-06-18,52,False
2020-06-19,46,False
2020-06-20,61,False
2020-06-21,0,False
2020-06-22,53,False
2020-06-23,0,False
2020-06-24,48,False
2020-06-25,69,False
2020-06-26,54,False
2020-06-27,0,False
