date,Frontliners,isPartial
2020-09-09,24,False
2020-09-10,37,False
2020-09-11,52,False
2020-09-12,22,False
2020-09-13,22,False
2020-09-14,36,False
2020-09-15,23,False
2020-09-16,45,False
2020-09-17,36,False
2020-09-18,26,False
2020-09-19,32,False
2020-09-20,0,False
2020-09-21,30,False
2020-09-22,42,False
2020-09-23,28,False
2020-09-24,45,False
2020-09-25,26,False
2020-09-26,18,False
2020-09-27,26,False
2020-09-28,26,False
2020-09-29,35,False
2020-09-30,36,False
2020-10-01,36,False
2020-10-02,43,False
2020-10-03,37,False
2020-10-04,47,False
2020-10-05,52,False
2020-10-06,57,False
2020-10-07,100,False
2020-10-08,98,False
2020-10-09,70,False
