date,Frontliners,isPartial
2020-05-27,85,False
2020-05-28,100,False
2020-05-29,56,False
2020-05-30,52,False
2020-05-31,94,False
2020-06-01,58,False
2020-06-02,48,False
2020-06-03,67,False
2020-06-04,90,False
2020-06-05,48,False
2020-06-06,65,False
2020-06-07,45,False
2020-06-08,41,False
2020-06-09,47,False
2020-06-10,42,False
2020-06-11,54,False
2020-06-12,89,False
2020-06-13,0,False
2020-06-14,49,False
2020-06-15,39,False
2020-06-16,0,False
2020-06-17,0,False
2020-06-18,40,False
2020-06-19,72,False
2020-06-20,45,False
2020-06-21,0,False
2020-06-22,42,False
2020-06-23,49,False
2020-06-24,0,False
2020-06-25,62,False
2020-06-26,0,False
