date,Frontliners,isPartial
2020-05-14,100,False
2020-05-15,50,False
2020-05-16,82,False
2020-05-17,80,False
2020-05-18,77,False
2020-05-19,67,False
2020-05-20,69,False
2020-05-21,86,False
2020-05-22,61,False
2020-05-23,79,False
2020-05-24,68,False
2020-05-25,79,False
2020-05-26,83,False
2020-05-27,56,False
2020-05-28,56,False
2020-05-29,46,False
2020-05-30,0,False
2020-05-31,73,False
2020-06-01,57,False
2020-06-02,0,False
2020-06-03,56,False
2020-06-04,50,False
2020-06-05,41,False
2020-06-06,50,False
2020-06-07,0,False
2020-06-08,33,False
2020-06-09,0,False
2020-06-10,0,False
2020-06-11,42,False
2020-06-12,48,False
2020-06-13,44,False
