date,ecq
2021-03-05,0
2021-03-06,0
2021-03-07,0
2021-03-08,74
2021-03-09,79
2021-03-10,53
2021-03-11,34
2021-03-12,48
2021-03-13,81
2021-03-14,72
2021-03-15,100
2021-03-16,74
2021-03-17,62
2021-03-18,50
2021-03-19,65
2021-03-20,45
