,flu,cough,fever,headache,lagnat,rashes,sipon,ubo,ecq,face shield,Frontliners,masks,Quarantine,social distancing,work from home
flu,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cough,0.47620998618002636,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fever,0.6135192875377946,0.479001635003846,1.0000000000000069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
headache,0.4566304739043558,0.49835393277093376,0.5532960761715177,1.0000000000000038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lagnat,0.41049200064842095,0.3248176696978734,0.3370930583560863,0.4250792116737945,1.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rashes,0.4293580092697827,0.44104434161553346,0.352949569096394,0.3837127252181388,0.34375681943413733,0.9999999999999939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sipon,0.4097309064660115,0.4542440848115457,0.48477187331780014,0.4089698947089425,0.2838351787985063,0.34837234263005235,0.9999999999999991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ubo,0.43269735059960973,0.3120015577980034,0.5636447158018484,0.4506388651248395,0.2442602871450497,0.38609911644133693,0.3964670739416082,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ecq,0.5855605357022271,0.40574485274849287,0.36162163340163606,0.3570652903985229,0.33790105200011744,0.5076075869553556,0.5121891857350193,0.24256978069372492,1.0000000000000013,0.0,0.0,0.0,0.0,0.0,0.0
face shield,0.5093325338333462,0.5390144690188894,0.5890938369530707,0.4348496304153774,0.3591657250331668,0.39344316356486236,0.44434397736241943,0.5132384838503787,0.4219524917342203,0.9999999999999989,0.0,0.0,0.0,0.0,0.0
Frontliners,0.42456823912950303,0.5188897586933348,0.5045781490343938,0.4038024995106322,0.30317798079671104,0.33158766013051644,0.27385827463933843,0.37769996389027927,0.31943837639800293,0.3617154078289437,1.000000000000001,0.0,0.0,0.0,0.0
masks,0.3950796668419626,0.3481887058596577,0.41466388190502895,0.35982061738853915,0.3508821747807199,0.523816982183332,0.391240133928957,0.5120489511235812,0.33090673602534354,0.355956176254642,0.3743919924576992,0.9999999999999983,0.0,0.0,0.0
Quarantine,0.525732442489549,0.5497583287699621,0.40995834377688584,0.6283704643893072,0.2554971674395816,0.5642269563040739,0.4617600504327885,0.4673302007953276,0.5465974512735738,0.5759983384310425,0.31048490452194705,0.2845250460634283,1.000000000000023,0.0,0.0
social distancing,0.3649574848122087,0.3993257113725878,0.4647852202613089,0.3158593500238597,0.28468122072800356,0.5516642810474325,0.5759660599844791,0.34350178839017464,0.4693020519336632,0.3925173248614931,0.33390080665327904,0.3391388482307556,0.362772964863568,0.999999999999998,0.0
work from home,0.45736488712076706,0.5973623705361147,0.4202985677185793,0.43435757062384633,0.2576210686512246,0.46156500499300857,0.6546558419712319,0.32065301902897086,0.4255052533950031,0.4094699321283855,0.2718782586919598,0.28074164678577684,0.5349518850193009,0.6192062073505996,1.0000000000000018
