,flu,cough,fever,headache,lagnat,rashes,sipon,ubo,ecq,face shield,Frontliners,masks,Quarantine,social distancing,work from home
flu,1.0000000000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cough,0.45421505743266427,0.9999999999999969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fever,0.749256473072893,0.3892771049633936,1.0000000000000173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
headache,0.5083647639275498,0.3477353144847595,0.6933274502204753,1.0000000000000069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lagnat,0.5843411604946985,0.21608241755462948,0.3932135428887741,0.4405160544056566,1.0000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rashes,0.3930278292516361,0.34418537180566344,0.5665783559348708,0.4068536704388276,0.2693791319518549,0.999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sipon,0.44020586001781054,0.3410385556459965,0.47213674097990843,0.32643507830151125,0.3717736547703435,0.609242363520434,1.0000000000000027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ubo,0.3263245813258465,0.3476519769803899,0.34407942209446524,0.2953326409458624,0.3586171289436265,0.5269393999623625,0.4911070621860352,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ecq,0.5576626773160567,0.5851287296401497,0.4654849927194759,0.35787248041564684,0.39885486457330305,0.4146632662093568,0.4294491865712148,0.34899498604673673,0.9999999999999994,0.0,0.0,0.0,0.0,0.0,0.0
face shield,0.7157892282891147,0.5482516842566403,0.6594450122254648,0.377017764254311,0.5548180818803785,0.38238240423617725,0.3799551252559491,0.24358454679273256,0.73226695375699,1.0000000000000007,0.0,0.0,0.0,0.0,0.0
Frontliners,0.35222682098774083,0.4559049253112432,0.31292414771300936,0.4059855924624085,0.31672396471504627,0.6261015131554475,0.4201266310801923,0.4476909208774814,0.584311419561406,0.4847653330048275,0.9999999999999994,0.0,0.0,0.0,0.0
masks,0.5289853455546,0.3366094293035831,0.46633610148304094,0.38704591483977485,0.5061697783214996,0.3364272564029723,0.5615727901917108,0.2174659588924037,0.6194494355106224,0.6892029154111808,0.5217846618063504,1.0000000000000007,0.0,0.0,0.0
Quarantine,0.3932569212929828,0.4321465911361091,0.42693077764291293,0.4274844008570474,0.33768880714095106,0.3958326630789005,0.33288516846652366,0.29107572734561943,0.7109901085014709,0.45457429620694134,0.5869468899751056,0.35551524064116896,1.0000000000000009,0.0,0.0
social distancing,0.5289209404426274,0.3213482410950576,0.30474787966247674,0.4459658048047003,0.4243023418714268,0.29053554809315935,0.3224916260037918,0.21212245006025368,0.39682551626426654,0.3528225964316225,0.388478587870569,0.3653641446512308,0.30329997174267465,1.0,0.0
work from home,0.301063323315704,0.3060082795664972,0.28200187038943575,0.2735670052302681,0.3058834872500742,0.45247753198337787,0.3511765590407856,0.42670051484089894,0.3637334101823982,0.27114630951169916,0.4166593067556677,0.3828831889969948,0.3327202330904846,0.25996446709284754,1.0000000000000007
