,flu,cough,fever,headache,lagnat,rashes,sipon,ubo,ecq,face shield,Frontliners,masks,Quarantine,social distancing,work from home
flu,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cough,0.6265187089617679,1.0000000000000064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fever,0.4484149228057206,0.4179825399950349,0.9999999999999838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
headache,0.37366230219157864,0.40138754040362196,0.32373566958751265,0.9999999999999906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lagnat,0.2623595392209192,0.4097024148652717,0.3503397725435601,0.38202619534265364,0.9999999999999983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rashes,0.4040936159233719,0.44318149282044583,0.38861802600019274,0.3324137152499261,0.2395904760043416,1.000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sipon,0.4026926587388394,0.44028469835882533,0.31962554327658693,0.3697201206211956,0.2669626929693903,0.7155119435601847,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ubo,0.45086891325872724,0.3257504007122324,0.2971840782717629,0.3418941136110881,0.5021426295867544,0.42309228584830094,0.49379134919660533,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ecq,0.3900792913005674,0.40629432592606646,0.347962449833106,0.3718960179666455,0.2262789154143332,0.46373276839986455,0.4684611696273482,0.6121180614782986,1.0000000000000016,0.0,0.0,0.0,0.0,0.0,0.0
face shield,0.3925886229052234,0.4900137501968814,0.3985071596727544,0.49020720740462403,0.21821934730856812,0.3642627650059898,0.3535955915154665,0.36326817731377875,0.3112550495274127,1.0000000000000107,0.0,0.0,0.0,0.0,0.0
Frontliners,0.6337797072673355,0.36699318263065045,0.37916656521146613,0.590417520600126,0.31704616746602143,0.552394507960743,0.6098152768414059,0.432128832940342,0.36584937176273646,0.5738984473402292,0.9999999999999996,0.0,0.0,0.0,0.0
masks,0.5484482404022654,0.5196377393594106,0.4067432794289255,0.3408375146282249,0.5866971840727856,0.468495763911274,0.3745939376329238,0.5557145125858489,0.7337678634969077,0.3049908510314525,0.38703566998157185,0.9999999999999977,0.0,0.0,0.0
Quarantine,0.404128668425278,0.3789148851737031,0.5049889343327518,0.31272142252616936,0.24776608412327833,0.45999313865263747,0.4434097512071814,0.3850873253063307,0.5304417629239261,0.31961820658652224,0.4370395386556425,0.5020854895770089,0.9999999999999859,0.0,0.0
social distancing,0.3691836979249785,0.4132912665342244,0.39564748171467196,0.46068405044819494,0.18808839065412647,0.4065748154585139,0.4034048111609166,0.3183019478517537,0.30200849424698745,0.4440616644997923,0.38832054009216505,0.3666204880650224,0.4527741836679003,1.0000000000000007,0.0
work from home,0.44834133197350473,0.6137824146720561,0.38227828890454263,0.3403373917212485,0.23116877456758625,0.5101627643171841,0.5596233291718989,0.30799142684899256,0.5302043116580283,0.4890800664248689,0.3427678523497181,0.33857257371396643,0.4354846942586298,0.32746653435026957,1.0000000000000042
