,flu,cough,fever,headache,lagnat,rashes,sipon,ubo,ecq,face shield,Frontliners,masks,Quarantine,social distancing,work from home
flu,1.0000000000000064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cough,0.3981131171239705,1.0000000000000087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fever,0.4308167724871265,0.37164786801058813,1.0000000000000189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
headache,0.5669227523041795,0.5647721770333831,0.6117663263443339,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lagnat,0.35470623012594177,0.39779182648115013,0.37043167648408565,0.3845236307011578,1.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rashes,0.4014022028411813,0.34429003333764135,0.531236594944426,0.4156931591217517,0.3443342144967961,1.000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sipon,0.2926572151256895,0.5387131678944205,0.45536272859908933,0.3666979787062688,0.460282338872304,0.300053959450518,1.0000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ubo,0.31385602258369555,0.392653393786651,0.33850908403295277,0.2535826695664156,0.30752259862991776,0.4690997752077935,0.2686696413357958,0.9999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ecq,0.39182979091892334,0.42938934794746936,0.3435633298512481,0.33728227646680026,0.22136138637833447,0.3072528506406136,0.32340455778895155,0.5155056364641933,0.9999999999999978,0.0,0.0,0.0,0.0,0.0,0.0
face shield,0.6190571793792855,0.5149654848606544,0.5031878427473199,0.7631923188882233,0.2923392631193727,0.41481085893100555,0.3494183506840794,0.2846964592901175,0.5309530686445308,0.9999999999999987,0.0,0.0,0.0,0.0,0.0
Frontliners,0.5366202609505696,0.408036492066724,0.4655055008031445,0.7051358970893685,0.2829103267559733,0.33548273052221733,0.3754574042697674,0.437297577843661,0.525568297880595,0.5783348709761214,1.0000000000000004,0.0,0.0,0.0,0.0
masks,0.5248982528381366,0.3803361166351601,0.5536415982767602,0.37128249660195195,0.37764924001260586,0.38794378629287524,0.33824442206332,0.3262169118216185,0.5259386892319134,0.599267390108954,0.3705038792814796,1.0,0.0,0.0,0.0
Quarantine,0.550552071088807,0.42188763105128213,0.3512596710454382,0.49179939446613774,0.32006351284936235,0.3090003631147173,0.3949094127710928,0.48260011922810536,0.8774441583098092,0.6734457676662271,0.6208900441153172,0.47139040374884256,1.0,0.0,0.0
social distancing,0.35999014815625463,0.4957221176318941,0.4714731869014788,0.35285704397533996,0.3750808924084489,0.35939149837266354,0.3260176840898506,0.33631762773176205,0.3954145049289431,0.45399883941958624,0.36346694457501505,0.5950202597210373,0.2977939372820999,0.9999999999999983,0.0
work from home,0.3337800286996966,0.3694778311888814,0.5153188397790857,0.32073336805966823,0.26902383296541077,0.44626068120508483,0.34944885381699664,0.4403599792399819,0.5124871814154979,0.3892282687511725,0.5758048784837284,0.5496813272942788,0.5163471251141736,0.5000425499527035,0.9999999999999917
