,flu,cough,fever,headache,lagnat,rashes,sipon,ubo,ecq,face shield,Frontliners,masks,Quarantine,social distancing,work from home
flu,1.0000000000000082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cough,0.41654275262780255,0.999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fever,0.3645518774786188,0.7107595862906698,1.000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
headache,0.5408795607998798,0.36533126704824553,0.6007370448586133,1.000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lagnat,0.3156390388887835,0.5327933980993674,0.488872360434491,0.41607374812688197,0.9999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rashes,0.471361468344164,0.7282109468175095,0.552595100617267,0.3964343242092095,0.3117196261803281,1.0000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sipon,0.3475712459817272,0.40083997594349235,0.33020830425734954,0.43997792210901926,0.2850902567349845,0.27805991956508774,0.9999999999999979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ubo,0.3335175709724046,0.4706824798263679,0.324317224004667,0.37639344656418894,0.35754601980629064,0.3595309767344196,0.6455209408285704,1.0000000000000022,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ecq,0.290976403009301,0.41795555492694986,0.3599828653297729,0.4010505346044542,0.919931847466394,0.29662932757643296,0.2423808393319484,0.3406428903497055,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0
face shield,0.369459718966253,0.3938502958790653,0.5658966654774705,0.36866682795941463,0.3346943686410575,0.47083425237262394,0.31451969839661087,0.42540187595295464,0.29741855884727864,0.9999999999999997,0.0,0.0,0.0,0.0,0.0
Frontliners,0.42345953848693657,0.3813497785324786,0.4655794874395748,0.46577980119238355,0.5285877248425869,0.27376270605666125,0.5184433612484581,0.43898112972515907,0.4900089234223794,0.4344200470005664,1.0,0.0,0.0,0.0,0.0
masks,0.29858309392076,0.29845882744467683,0.30593997343879825,0.2869767079598531,0.49051837634955786,0.2670899766119686,0.321807617122392,0.37931173856773104,0.5196283699347305,0.26891047223990644,0.31992402594371955,0.9999999999999987,0.0,0.0,0.0
Quarantine,0.4417602096651994,0.43845929389859023,0.5556023765259908,0.47482555585296915,0.3337716557129822,0.46893034426224267,0.42559724672270705,0.44921961665180116,0.34039113339101273,0.317074451844797,0.3405728256395713,0.460039573084322,0.9999999999999977,0.0,0.0
social distancing,0.495368678685051,0.4629700275140438,0.3289293880603593,0.379427038568221,0.28996344541914904,0.5929334618941583,0.2620414146725854,0.2799859080034338,0.263108856896752,0.31383932800893044,0.3214866862427622,0.2754894751787516,0.4032184087665188,0.999999999999999,0.0
work from home,0.3413885659604437,0.31701648446675973,0.35322965157358927,0.40949255149435676,0.2843650903779669,0.33122706437166777,0.5483814303138729,0.4012431491621444,0.37885367091445143,0.28026400143794755,0.3774609937055208,0.6448621269384865,0.5565581118528314,0.3077032556758983,1.0000000000000004
