,flu,cough,fever,headache,lagnat,rashes,sipon,ubo,ecq,face shield,Frontliners,masks,Quarantine,social distancing,work from home
flu,0.9999999999999937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cough,0.3845096915049146,1.0000000000000047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fever,0.46158075352737993,0.41928841425231334,0.9999999999999752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
headache,0.4050402337541315,0.32369848478512303,0.39551429432061264,1.0000000000000064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lagnat,0.5008656961203364,0.302177171587024,0.43226651460886817,0.32813438649776655,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rashes,0.4545595969847663,0.4860034431506628,0.4826886864789598,0.4402168127106401,0.23915610454000602,0.999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sipon,0.5067294225986707,0.4899199621780883,0.406233210108029,0.377378641540588,0.2023123729192789,0.5609782478996782,1.000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ubo,0.36696261147592013,0.35960117691149623,0.3712639562277044,0.3851202329677725,0.6158613090081331,0.48315840940296756,0.30514883983873675,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ecq,0.3492895440540882,0.5858533782932535,0.27994561388449607,0.3189995222750693,0.298466965997115,0.3695257189114602,0.34318387812122514,0.38363146524234787,1.0,0.0,0.0,0.0,0.0,0.0,0.0
face shield,0.37647808297160396,0.5773148946738963,0.49374419252863755,0.3796810674910352,0.2446654789574528,0.6274930909467341,0.5430282048282482,0.3550241104597627,0.4072451076039121,1.0000000000000004,0.0,0.0,0.0,0.0,0.0
Frontliners,0.4188647565261764,0.5162566353623124,0.4493398651561522,0.42490907001410566,0.2798680310367659,0.4706082236911915,0.428499917079649,0.4553604202160032,0.44553591803493625,0.5616506466261622,1.0000000000000016,0.0,0.0,0.0,0.0
masks,0.41953742790531723,0.5011514296868689,0.44263285324102636,0.42969173814709544,0.40623604130129953,0.39989524275923716,0.30445129714366087,0.2525035317585894,0.5865307738543472,0.377864321036981,0.313486346650542,0.9999999999999998,0.0,0.0,0.0
Quarantine,0.3298250269364968,0.5468032599593411,0.2762910371055177,0.46425672471726437,0.17421121302188952,0.4087629016884418,0.4728533651099586,0.3547424516784614,0.3703610432675132,0.44704442183319393,0.4037528405707752,0.22295318053310567,0.9999999999999951,0.0,0.0
social distancing,0.23691880700884915,0.3737439196068756,0.3426132357174161,0.32414507935943154,0.3152738394183535,0.3759368403555993,0.4581000299325571,0.4000419254006259,0.4965521961272005,0.43174271500613093,0.45191993335861785,0.22774886623259644,0.3745662053874377,1.0000000000000002,0.0
work from home,0.34007473418965933,0.3501198150716413,0.46985479333734315,0.5212293122897502,0.26292324854964466,0.3327530297652487,0.3814802840293003,0.3784903669480788,0.2916684052000718,0.3959815226587915,0.500889647761551,0.21702474435055671,0.32491749169506473,0.18635158536804122,1.0000000000000016
