,flu,cough,fever,headache,lagnat,rashes,sipon,ubo,ecq,face shield,Frontliners,masks,Quarantine,social distancing,work from home
flu,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cough,0.9419000672095894,1.0000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fever,0.857869676180898,0.8264161684719444,0.9999999999999973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
headache,0.45599930310073206,0.3820565607699377,0.4958698161006633,1.0000000000000118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lagnat,0.5977312012541731,0.6618056941824612,0.7038718644189877,0.30629281551032855,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rashes,0.61664501299876,0.6473487090586932,0.5308860700859925,0.43447157291298455,0.4115569736832241,0.9999999999999938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sipon,0.32691249258941163,0.35503593654619464,0.4600770110946823,0.33632313441748024,0.4946733986742808,0.4001645493798312,1.0000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ubo,0.41462653925171516,0.43798595165533255,0.4381211702361149,0.3394053334511047,0.2817563567823636,0.35785615518637964,0.32534354584457487,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ecq,0.7606151528743404,0.7303782951350303,0.8234362838789521,0.4431053726396784,0.6214050934263821,0.583345339403677,0.4100527977182196,0.508777054573827,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0
face shield,0.383427902095587,0.4252514812548603,0.37775534535542327,0.31894068698481853,0.3703251255272976,0.42747201347588304,0.33498872538486024,0.31991231618882315,0.4507574986821758,1.0000000000000004,0.0,0.0,0.0,0.0,0.0
Frontliners,0.6791604520323148,0.7809459871080104,0.5379078047194225,0.36464360787295697,0.3905915392505222,0.6861005682902852,0.3254569088367327,0.4404873374204244,0.47192747805046403,0.3663963555452154,0.9999999999999934,0.0,0.0,0.0,0.0
masks,0.4712889131342324,0.5261563887088136,0.4879039338674868,0.5291695131968333,0.24377082799645727,0.5807799827701653,0.3842881628685443,0.3453638387440002,0.4613756545522534,0.40851980094349005,0.4622193650639022,0.9999999999999982,0.0,0.0,0.0
Quarantine,0.5158679014433328,0.5818692132780049,0.4144585975455735,0.42339196905458437,0.40285358766707957,0.44985767553756206,0.3089528690985644,0.4651415410053574,0.398865710020959,0.5977545022748002,0.6682217775141579,0.36251193521795994,1.000000000000003,0.0,0.0
social distancing,0.6408111449714097,0.6994899706584906,0.6360985282029888,0.4445049377640719,0.639889242893,0.5566781755700576,0.3744381347496528,0.4066814228220917,0.4781454566711603,0.5088276969371573,0.6904164832085072,0.45997540283137356,0.7781278591910077,0.999999999999999,0.0
work from home,0.45315337321447585,0.5782396343877206,0.430009607231891,0.5588376429297959,0.4423938445940879,0.49334829831846894,0.3869152626907836,0.34190130507275696,0.36606990555340374,0.6106092742774137,0.713776466097929,0.43188403234068257,0.825436534213707,0.7760680198219616,0.9999999999999971
