date,masks,isPartial
2020-09-13,67,False
2020-09-14,80,False
2020-09-15,77,False
2020-09-16,53,False
2020-09-17,65,False
2020-09-18,81,False
2020-09-19,97,False
2020-09-20,92,False
2020-09-21,83,False
2020-09-22,0,False
2020-09-23,74,False
2020-09-24,0,False
2020-09-25,46,False
2020-09-26,0,False
2020-09-27,100,False
2020-09-28,62,False
2020-09-29,66,False
2020-09-30,54,False
2020-10-01,59,False
2020-10-02,61,False
2020-10-03,0,False
2020-10-04,67,False
2020-10-05,59,False
2020-10-06,0,False
2020-10-07,71,False
2020-10-08,75,False
2020-10-09,47,False
2020-10-10,74,False
2020-10-11,0,False
2020-10-12,47,False
2020-10-13,86,False
