date,masks,isPartial
2021-01-17,80,False
2021-01-18,54,False
2021-01-19,81,False
2021-01-20,53,False
2021-01-21,69,False
2021-01-22,100,False
2021-01-23,71,False
2021-01-24,84,False
2021-01-25,72,False
2021-01-26,0,False
2021-01-27,81,False
2021-01-28,74,False
2021-01-29,42,False
2021-01-30,76,False
2021-01-31,95,False
2021-02-01,64,False
2021-02-02,52,False
2021-02-03,75,False
2021-02-04,78,False
2021-02-05,0,False
2021-02-06,0,False
2021-02-07,0,False
2021-02-08,76,False
2021-02-09,71,False
2021-02-10,62,False
2021-02-11,70,False
2021-02-12,93,False
2021-02-13,74,False
2021-02-14,0,False
2021-02-15,77,False
2021-02-16,83,False
