date,masks,isPartial
2020-08-13,72,False
2020-08-14,100,False
2020-08-15,72,False
2020-08-16,73,False
2020-08-17,46,False
2020-08-18,77,False
2020-08-19,44,False
2020-08-20,51,False
2020-08-21,0,False
2020-08-22,51,False
2020-08-23,48,False
2020-08-24,43,False
2020-08-25,44,False
2020-08-26,42,False
2020-08-27,52,False
2020-08-28,63,False
2020-08-29,66,False
2020-08-30,0,False
2020-08-31,55,False
2020-09-01,61,False
2020-09-02,47,False
2020-09-03,49,False
2020-09-04,59,False
2020-09-05,46,False
2020-09-06,36,False
2020-09-07,35,False
2020-09-08,51,False
2020-09-09,60,False
2020-09-10,46,False
2020-09-11,35,False
2020-09-12,60,False
