date,masks,isPartial
2021-01-14,0,False
2021-01-15,100,False
2021-01-16,59,False
2021-01-17,61,False
2021-01-18,41,False
2021-01-19,61,False
2021-01-20,40,False
2021-01-21,52,False
2021-01-22,76,False
2021-01-23,53,False
2021-01-24,63,False
2021-01-25,55,False
2021-01-26,0,False
2021-01-27,61,False
2021-01-28,56,False
2021-01-29,32,False
2021-01-30,57,False
2021-01-31,72,False
2021-02-01,48,False
2021-02-02,39,False
2021-02-03,57,False
2021-02-04,59,False
2021-02-05,0,False
2021-02-06,0,False
2021-02-07,0,False
2021-02-08,57,False
2021-02-09,53,False
2021-02-10,47,False
2021-02-11,53,False
2021-02-12,70,False
2021-02-13,56,False
