date,masks,isPartial
2020-04-23,54,False
2020-04-24,38,False
2020-04-25,62,False
2020-04-26,0,False
2020-04-27,75,False
2020-04-28,71,False
2020-04-29,81,False
2020-04-30,58,False
2020-05-01,53,False
2020-05-02,52,False
2020-05-03,78,False
2020-05-04,46,False
2020-05-05,88,False
2020-05-06,78,False
2020-05-07,43,False
2020-05-08,57,False
2020-05-09,48,False
2020-05-10,39,False
2020-05-11,65,False
2020-05-12,73,False
2020-05-13,73,False
2020-05-14,85,False
2020-05-15,64,False
2020-05-16,50,False
2020-05-17,82,False
2020-05-18,100,False
2020-05-19,87,False
2020-05-20,74,False
2020-05-21,92,False
2020-05-22,64,False
2020-05-23,73,False
