date,masks,isPartial
2020-05-30,75,False
2020-05-31,77,False
2020-06-01,74,False
2020-06-02,86,False
2020-06-03,60,False
2020-06-04,82,False
2020-06-05,69,False
2020-06-06,84,False
2020-06-07,89,False
2020-06-08,41,False
2020-06-09,67,False
2020-06-10,66,False
2020-06-11,86,False
2020-06-12,85,False
2020-06-13,79,False
2020-06-14,69,False
2020-06-15,83,False
2020-06-16,100,False
2020-06-17,76,False
2020-06-18,52,False
2020-06-19,60,False
2020-06-20,87,False
2020-06-21,63,False
2020-06-22,58,False
2020-06-23,36,False
2020-06-24,54,False
2020-06-25,63,False
2020-06-26,34,False
2020-06-27,0,False
2020-06-28,49,False
2020-06-29,55,False
