date,masks,isPartial
2020-09-22,76,False
2020-09-23,0,False
2020-09-24,80,False
2020-09-25,76,False
2020-09-26,0,False
2020-09-27,100,False
2020-09-28,86,False
2020-09-29,87,False
2020-09-30,64,False
2020-10-01,61,False
2020-10-02,75,False
2020-10-03,61,False
2020-10-04,78,False
2020-10-05,67,False
2020-10-06,69,False
2020-10-07,83,False
2020-10-08,81,False
2020-10-09,0,False
2020-10-10,0,False
2020-10-11,79,False
2020-10-12,65,False
2020-10-13,0,False
2020-10-14,78,False
2020-10-15,62,False
2020-10-16,0,False
2020-10-17,63,False
2020-10-18,86,False
2020-10-19,76,False
2020-10-20,51,False
2020-10-21,85,False
2020-10-22,71,False
