date,masks,isPartial
2020-08-27,71,False
2020-08-28,63,False
2020-08-29,71,False
2020-08-30,0,False
2020-08-31,70,False
2020-09-01,67,False
2020-09-02,65,False
2020-09-03,82,False
2020-09-04,82,False
2020-09-05,50,False
2020-09-06,0,False
2020-09-07,40,False
2020-09-08,66,False
2020-09-09,81,False
2020-09-10,60,False
2020-09-11,64,False
2020-09-12,72,False
2020-09-13,60,False
2020-09-14,55,False
2020-09-15,65,False
2020-09-16,45,False
2020-09-17,73,False
2020-09-18,39,False
2020-09-19,100,False
2020-09-20,81,False
2020-09-21,100,False
2020-09-22,58,False
2020-09-23,0,False
2020-09-24,61,False
2020-09-25,58,False
2020-09-26,0,False
