date,masks,isPartial
2021-02-08,78,False
2021-02-09,100,False
2021-02-10,46,False
2021-02-11,82,False
2021-02-12,81,False
2021-02-13,60,False
2021-02-14,0,False
2021-02-15,79,False
2021-02-16,58,False
2021-02-17,48,False
2021-02-18,84,False
2021-02-19,53,False
2021-02-20,0,False
2021-02-21,0,False
2021-02-22,63,False
2021-02-23,52,False
2021-02-24,44,False
2021-02-25,73,False
2021-02-26,0,False
2021-02-27,63,False
2021-02-28,57,False
2021-03-01,78,False
2021-03-02,68,False
2021-03-03,0,False
2021-03-04,67,False
2021-03-05,50,False
2021-03-06,0,False
2021-03-07,64,False
2021-03-08,0,False
2021-03-09,55,False
2021-03-10,74,False
