date,masks,isPartial
2020-04-17,100,False
2020-04-18,61,False
2020-04-19,53,False
2020-04-20,74,False
2020-04-21,71,False
2020-04-22,90,False
2020-04-23,55,False
2020-04-24,39,False
2020-04-25,63,False
2020-04-26,0,False
2020-04-27,76,False
2020-04-28,72,False
2020-04-29,83,False
2020-04-30,59,False
2020-05-01,54,False
2020-05-02,53,False
2020-05-03,79,False
2020-05-04,47,False
2020-05-05,90,False
2020-05-06,80,False
2020-05-07,43,False
2020-05-08,58,False
2020-05-09,49,False
2020-05-10,39,False
2020-05-11,66,False
2020-05-12,75,False
2020-05-13,74,False
2020-05-14,86,False
2020-05-15,65,False
2020-05-16,51,False
2020-05-17,83,False
