week,masks,manual_weekly_average,manual_weekly_sum,days_in_week,search_interest_weight
2020-03-15,71,53.0,318,6,1.3396226415094339
2020-03-22,66,57.142857142857146,400,7,1.155
2020-03-29,76,74.0,518,7,1.027027027027027
2020-04-05,81,75.85714285714286,531,7,1.0677966101694916
2020-04-12,72,69.57142857142857,487,7,1.0349075975359343
2020-04-19,57,63.57142857142857,445,7,0.8966292134831461
2020-04-26,58,56.714285714285715,397,7,1.022670025188917
2020-05-03,65,63.714285714285715,446,7,1.0201793721973094
2020-05-10,65,65.14285714285714,456,7,0.9978070175438597
2020-05-17,85,62.285714285714285,436,7,1.364678899082569
2020-05-24,100,75.28571428571429,527,7,1.3282732447817835
2020-05-31,76,58.42857142857143,409,7,1.3007334963325183
2020-06-07,73,56.285714285714285,394,7,1.2969543147208122
2020-06-14,74,66.0,462,7,1.121212121212121
2020-06-21,52,43.0,301,7,1.2093023255813953
2020-06-28,58,61.142857142857146,428,7,0.9485981308411214
2020-07-05,70,68.28571428571429,478,7,1.0251046025104602
2020-07-12,74,73.57142857142857,515,7,1.0058252427184466
2020-07-19,78,85.14285714285714,596,7,0.9161073825503356
2020-07-26,62,68.28571428571429,478,7,0.907949790794979
2020-08-02,56,59.285714285714285,415,7,0.9445783132530121
2020-08-09,65,75.0,525,7,0.8666666666666667
2020-08-16,44,57.142857142857146,400,7,0.7699999999999999
2020-08-23,41,66.71428571428571,467,7,0.6145610278372592
2020-08-30,41,58.714285714285715,411,7,0.6982968369829684
2020-09-06,43,60.142857142857146,421,7,0.7149643705463182
2020-09-13,44,54.142857142857146,379,7,0.812664907651715
2020-09-20,38,39.857142857142854,279,7,0.9534050179211471
2020-09-27,42,46.857142857142854,328,7,0.8963414634146342
2020-10-04,40,46.57142857142857,326,7,0.8588957055214724
2020-10-11,36,25.714285714285715,180,7,1.4
2020-10-18,41,77.85714285714286,545,7,0.5266055045871559
2020-10-25,41,62.42857142857143,437,7,0.6567505720823799
2020-11-01,29,40.57142857142857,284,7,0.7147887323943662
2020-11-08,30,24.571428571428573,172,7,1.2209302325581395
2020-11-15,34,30.142857142857142,211,7,1.127962085308057
2020-11-22,42,45.42857142857143,318,7,0.9245283018867924
2020-11-29,37,69.57142857142857,487,7,0.5318275154004107
2020-12-06,39,62.0,434,7,0.6290322580645161
2020-12-13,40,65.42857142857143,458,7,0.611353711790393
2020-12-20,39,40.57142857142857,284,7,0.9612676056338029
2020-12-27,33,28.0,196,7,1.1785714285714286
2021-01-03,40,63.0,441,7,0.6349206349206349
2021-01-10,42,47.857142857142854,335,7,0.8776119402985075
2021-01-17,45,68.85714285714286,482,7,0.6535269709543569
2021-01-24,49,65.85714285714286,461,7,0.7440347071583514
2021-01-31,43,64.42857142857143,451,7,0.6674057649667405
2021-02-07,47,61.285714285714285,429,7,0.7668997668997669
2021-02-14,39,41.57142857142857,291,7,0.9381443298969072
2021-02-21,34,55.0,385,7,0.6181818181818182
2021-02-28,38,34.42857142857143,241,7,1.1037344398340247
2021-03-07,42,65.28571428571429,457,7,0.6433260393873085
2021-03-14,37,35.714285714285715,250,7,1.036
