week,ecq,manual_weekly_average,manual_weekly_sum,days_in_week,search_interest_weight
2020-03-15,1,2.3333333333333335,14,6,0.42857142857142855
2020-03-22,3,8.142857142857142,57,7,0.368421052631579
2020-03-29,9,26.714285714285715,187,7,0.33689839572192515
2020-04-05,19,53.285714285714285,373,7,0.35656836461126007
2020-04-12,19,34.0,238,7,0.5588235294117647
2020-04-19,41,19.571428571428573,137,7,2.094890510948905
2020-04-26,34,16.571428571428573,116,7,2.0517241379310343
2020-05-03,44,22.285714285714285,156,7,1.9743589743589745
2020-05-10,100,46.142857142857146,323,7,2.1671826625386994
2020-05-17,27,58.142857142857146,407,7,0.46437346437346433
2020-05-24,20,43.142857142857146,302,7,0.46357615894039733
2020-05-31,10,24.428571428571427,171,7,0.40935672514619886
2020-06-07,15,35.142857142857146,246,7,0.4268292682926829
2020-06-14,18,69.28571428571429,485,7,0.25979381443298966
2020-06-21,5,42.857142857142854,300,7,0.11666666666666667
2020-06-28,6,53.57142857142857,375,7,0.112
2020-07-05,5,45.0,315,7,0.1111111111111111
2020-07-12,6,50.57142857142857,354,7,0.11864406779661017
2020-07-19,5,4.857142857142857,34,7,1.0294117647058825
2020-07-26,9,8.428571428571429,59,7,1.0677966101694916
2020-08-02,29,28.285714285714285,198,7,1.0252525252525253
2020-08-09,7,6.428571428571429,45,7,1.0888888888888888
2020-08-16,8,38.42857142857143,269,7,0.20817843866171
2020-08-23,2,21.857142857142858,153,7,0.0915032679738562
2020-08-30,3,26.285714285714285,184,7,0.1141304347826087
2020-09-06,2,19.857142857142858,139,7,0.10071942446043165
2020-09-13,2,30.428571428571427,213,7,0.06572769953051644
2020-09-20,2,54.857142857142854,384,7,0.036458333333333336
2020-09-27,2,66.71428571428571,467,7,0.02997858672376874
2020-10-04,2,63.0,441,7,0.031746031746031744
2020-10-11,2,48.142857142857146,337,7,0.04154302670623145
2020-10-18,2,67.42857142857143,472,7,0.029661016949152543
2020-10-25,1,27.285714285714285,191,7,0.03664921465968587
2020-11-01,1,39.0,273,7,0.02564102564102564
2020-11-08,1,27.571428571428573,193,7,0.03626943005181347
2020-11-15,1,33.57142857142857,235,7,0.029787234042553193
2020-11-22,1,9.714285714285714,68,7,0.10294117647058824
2020-11-29,2,42.857142857142854,300,7,0.04666666666666667
2020-12-06,2,37.857142857142854,265,7,0.052830188679245285
2020-12-13,1,30.428571428571427,213,7,0.03286384976525822
2020-12-20,1,14.285714285714286,100,7,0.06999999999999999
2020-12-27,2,35.857142857142854,251,7,0.05577689243027889
2021-01-03,1,6.714285714285714,47,7,0.14893617021276595
2021-01-10,1,10.0,70,7,0.1
2021-01-17,1,10.571428571428571,74,7,0.0945945945945946
2021-01-24,1,42.0,294,7,0.023809523809523808
2021-01-31,1,26.714285714285715,187,7,0.0374331550802139
2021-02-07,1,0.0,0,7,
2021-02-14,1,17.142857142857142,120,7,0.058333333333333334
2021-02-21,1,17.0,119,7,0.058823529411764705
2021-02-28,1,5.428571428571429,38,7,0.18421052631578946
2021-03-07,2,52.714285714285715,369,7,0.037940379403794036
2021-03-14,2,66.85714285714286,468,7,0.029914529914529912
