week,ubo,manual_weekly_average,manual_weekly_sum,days_in_week,search_interest_weight
2020-03-15,100,82.5,495,6,1.2121212121212122
2020-03-22,99,79.42857142857143,556,7,1.2464028776978417
2020-03-29,64,48.857142857142854,342,7,1.3099415204678364
2020-04-05,52,28.0,196,7,1.8571428571428572
2020-04-12,52,47.42857142857143,332,7,1.0963855421686746
2020-04-19,31,11.142857142857142,78,7,2.7820512820512824
2020-04-26,41,46.857142857142854,328,7,0.8750000000000001
2020-05-03,34,19.857142857142858,139,7,1.7122302158273381
2020-05-10,23,0.0,0,7,
2020-05-17,31,30.285714285714285,212,7,1.0235849056603774
2020-05-24,28,0.0,0,7,
2020-05-31,33,31.142857142857142,218,7,1.0596330275229358
2020-06-07,36,56.142857142857146,393,7,0.6412213740458015
2020-06-14,44,41.57142857142857,291,7,1.0584192439862543
2020-06-21,54,47.714285714285715,334,7,1.1317365269461077
2020-06-28,60,62.0,434,7,0.967741935483871
2020-07-05,63,60.57142857142857,424,7,1.0400943396226416
2020-07-12,60,59.42857142857143,416,7,1.0096153846153846
2020-07-19,50,50.285714285714285,352,7,0.9943181818181819
2020-07-26,54,62.857142857142854,440,7,0.8590909090909091
2020-08-02,48,58.57142857142857,410,7,0.8195121951219513
2020-08-09,41,36.57142857142857,256,7,1.12109375
2020-08-16,38,43.714285714285715,306,7,0.869281045751634
2020-08-23,36,47.857142857142854,335,7,0.7522388059701492
2020-08-30,32,34.714285714285715,243,7,0.9218106995884774
2020-09-06,36,49.57142857142857,347,7,0.7262247838616716
2020-09-13,37,34.285714285714285,240,7,1.0791666666666666
2020-09-20,33,32.857142857142854,230,7,1.0043478260869567
2020-09-27,34,30.285714285714285,212,7,1.1226415094339623
2020-10-04,34,48.42857142857143,339,7,0.7020648967551623
2020-10-11,39,39.42857142857143,276,7,0.9891304347826086
2020-10-18,43,62.857142857142854,440,7,0.6840909090909091
2020-10-25,45,42.285714285714285,296,7,1.0641891891891893
2020-11-01,40,54.714285714285715,383,7,0.7310704960835509
2020-11-08,46,40.285714285714285,282,7,1.1418439716312057
2020-11-15,47,33.857142857142854,237,7,1.388185654008439
2020-11-22,48,55.714285714285715,390,7,0.8615384615384615
2020-11-29,57,71.85714285714286,503,7,0.7932405566600397
2020-12-06,48,45.142857142857146,316,7,1.0632911392405062
2020-12-13,51,49.42857142857143,346,7,1.0317919075144508
2020-12-20,46,23.428571428571427,164,7,1.9634146341463417
2020-12-27,65,56.285714285714285,394,7,1.1548223350253808
2021-01-03,56,48.857142857142854,342,7,1.1461988304093569
2021-01-10,60,52.857142857142854,370,7,1.1351351351351353
2021-01-17,70,70.57142857142857,494,7,0.9919028340080972
2021-01-24,53,57.857142857142854,405,7,0.9160493827160494
2021-01-31,54,58.0,406,7,0.9310344827586207
2021-02-07,63,66.71428571428571,467,7,0.9443254817987153
2021-02-14,55,50.714285714285715,355,7,1.084507042253521
2021-02-21,52,51.142857142857146,358,7,1.0167597765363128
2021-02-28,62,47.0,329,7,1.3191489361702127
2021-03-07,67,62.857142857142854,440,7,1.065909090909091
2021-03-14,70,73.14285714285714,512,7,0.95703125
