date,flu,isPartial
2020-08-15,95,False
2020-08-16,90,False
2020-08-17,84,False
2020-08-18,80,False
2020-08-19,76,False
2020-08-20,100,False
2020-08-21,75,False
2020-08-22,81,False
2020-08-23,77,False
2020-08-24,83,False
2020-08-25,64,False
2020-08-26,69,False
2020-08-27,63,False
2020-08-28,65,False
2020-08-29,73,False
2020-08-30,51,False
2020-08-31,72,False
2020-09-01,59,False
2020-09-02,45,False
2020-09-03,74,False
2020-09-04,59,False
2020-09-05,74,False
2020-09-06,55,False
2020-09-07,62,False
2020-09-08,42,False
2020-09-09,57,False
2020-09-10,56,False
2020-09-11,55,False
2020-09-12,62,False
2020-09-13,47,False
2020-09-14,53,False
