date,flu,isPartial
2021-01-18,85,False
2021-01-19,46,False
2021-01-20,52,False
2021-01-21,70,False
2021-01-22,71,False
2021-01-23,49,False
2021-01-24,69,False
2021-01-25,80,False
2021-01-26,61,False
2021-01-27,83,False
2021-01-28,58,False
2021-01-29,73,False
2021-01-30,59,False
2021-01-31,64,False
2021-02-01,100,False
2021-02-02,47,False
2021-02-03,43,False
2021-02-04,42,False
2021-02-05,55,False
2021-02-06,58,False
2021-02-07,61,False
2021-02-08,53,False
2021-02-09,33,False
2021-02-10,45,False
2021-02-11,29,False
2021-02-12,48,False
2021-02-13,71,False
2021-02-14,0,False
2021-02-15,59,False
2021-02-16,72,False
2021-02-17,47,False
