date,flu,isPartial
2020-08-29,99,False
2020-08-30,69,False
2020-08-31,98,False
2020-09-01,80,False
2020-09-02,61,False
2020-09-03,100,False
2020-09-04,80,False
2020-09-05,100,False
2020-09-06,74,False
2020-09-07,85,False
2020-09-08,57,False
2020-09-09,78,False
2020-09-10,75,False
2020-09-11,74,False
2020-09-12,84,False
2020-09-13,64,False
2020-09-14,72,False
2020-09-15,74,False
2020-09-16,86,False
2020-09-17,85,False
2020-09-18,79,False
2020-09-19,70,False
2020-09-20,57,False
2020-09-21,62,False
2020-09-22,68,False
2020-09-23,63,False
2020-09-24,64,False
2020-09-25,72,False
2020-09-26,82,False
2020-09-27,59,False
2020-09-28,80,False
