date,flu,isPartial
2020-07-04,58,False
2020-07-05,78,False
2020-07-06,73,False
2020-07-07,61,False
2020-07-08,56,False
2020-07-09,78,False
2020-07-10,60,False
2020-07-11,76,False
2020-07-12,69,False
2020-07-13,74,False
2020-07-14,56,False
2020-07-15,69,False
2020-07-16,78,False
2020-07-17,82,False
2020-07-18,91,False
2020-07-19,87,False
2020-07-20,90,False
2020-07-21,70,False
2020-07-22,86,False
2020-07-23,90,False
2020-07-24,84,False
2020-07-25,90,False
2020-07-26,92,False
2020-07-27,89,False
2020-07-28,75,False
2020-07-29,73,False
2020-07-30,100,False
2020-07-31,87,False
2020-08-01,92,False
2020-08-02,65,False
2020-08-03,68,False
