date,flu,isPartial
2021-01-21,75,False
2021-01-22,48,False
2021-01-23,43,False
2021-01-24,61,False
2021-01-25,67,False
2021-01-26,55,False
2021-01-27,74,False
2021-01-28,40,False
2021-01-29,67,False
2021-01-30,61,False
2021-01-31,70,False
2021-02-01,58,False
2021-02-02,43,False
2021-02-03,39,False
2021-02-04,0,False
2021-02-05,34,False
2021-02-06,60,False
2021-02-07,62,False
2021-02-08,66,False
2021-02-09,55,False
2021-02-10,57,False
2021-02-11,45,False
2021-02-12,47,False
2021-02-13,44,False
2021-02-14,49,False
2021-02-15,72,False
2021-02-16,61,False
2021-02-17,43,False
2021-02-18,47,False
2021-02-19,64,False
2021-02-20,100,False
