date,flu,isPartial
2020-03-29,100,False
2020-03-30,86,False
2020-03-31,62,False
2020-04-01,62,False
2020-04-02,62,False
2020-04-03,53,False
2020-04-04,67,False
2020-04-05,77,False
2020-04-06,69,False
2020-04-07,58,False
2020-04-08,48,False
2020-04-09,50,False
2020-04-10,79,False
2020-04-11,63,False
2020-04-12,48,False
2020-04-13,58,False
2020-04-14,49,False
2020-04-15,51,False
2020-04-16,36,False
2020-04-17,43,False
2020-04-18,43,False
2020-04-19,50,False
2020-04-20,48,False
2020-04-21,41,False
2020-04-22,39,False
2020-04-23,39,False
2020-04-24,40,False
2020-04-25,43,False
2020-04-26,40,False
2020-04-27,32,False
2020-04-28,44,False
