date,flu,isPartial
2020-05-19,100,False
2020-05-20,86,False
2020-05-21,77,False
2020-05-22,79,False
2020-05-23,81,False
2020-05-24,67,False
2020-05-25,78,False
2020-05-26,55,False
2020-05-27,65,False
2020-05-28,92,False
2020-05-29,80,False
2020-05-30,93,False
2020-05-31,81,False
2020-06-01,86,False
2020-06-02,77,False
2020-06-03,64,False
2020-06-04,89,False
2020-06-05,75,False
2020-06-06,86,False
2020-06-07,94,False
2020-06-08,75,False
2020-06-09,60,False
2020-06-10,56,False
2020-06-11,65,False
2020-06-12,73,False
2020-06-13,95,False
2020-06-14,98,False
2020-06-15,84,False
2020-06-16,67,False
2020-06-17,95,False
2020-06-18,86,False
