date,flu,isPartial
2020-12-10,60,False
2020-12-11,61,False
2020-12-12,74,False
2020-12-13,54,False
2020-12-14,77,False
2020-12-15,67,False
2020-12-16,62,False
2020-12-17,68,False
2020-12-18,93,False
2020-12-19,64,False
2020-12-20,100,False
2020-12-21,57,False
2020-12-22,54,False
2020-12-23,60,False
2020-12-24,49,False
2020-12-25,79,False
2020-12-26,52,False
2020-12-27,90,False
2020-12-28,69,False
2020-12-29,87,False
2020-12-30,97,False
2020-12-31,93,False
2021-01-01,67,False
2021-01-02,83,False
2021-01-03,91,False
2021-01-04,36,False
2021-01-05,73,False
2021-01-06,93,False
2021-01-07,85,False
2021-01-08,77,False
2021-01-09,80,False
