date,flu,isPartial
2020-05-25,80,False
2020-05-26,57,False
2020-05-27,66,False
2020-05-28,94,False
2020-05-29,82,False
2020-05-30,96,False
2020-05-31,83,False
2020-06-01,88,False
2020-06-02,79,False
2020-06-03,65,False
2020-06-04,91,False
2020-06-05,76,False
2020-06-06,88,False
2020-06-07,96,False
2020-06-08,77,False
2020-06-09,62,False
2020-06-10,57,False
2020-06-11,66,False
2020-06-12,75,False
2020-06-13,97,False
2020-06-14,100,False
2020-06-15,87,False
2020-06-16,68,False
2020-06-17,98,False
2020-06-18,88,False
2020-06-19,85,False
2020-06-20,64,False
2020-06-21,54,False
2020-06-22,75,False
2020-06-23,62,False
2020-06-24,70,False
