date,flu,isPartial
2020-11-11,63,False
2020-11-12,87,False
2020-11-13,65,False
2020-11-14,70,False
2020-11-15,78,False
2020-11-16,88,False
2020-11-17,77,False
2020-11-18,58,False
2020-11-19,56,False
2020-11-20,71,False
2020-11-21,100,False
2020-11-22,73,False
2020-11-23,71,False
2020-11-24,93,False
2020-11-25,88,False
2020-11-26,64,False
2020-11-27,63,False
2020-11-28,91,False
2020-11-29,65,False
2020-11-30,83,False
2020-12-01,62,False
2020-12-02,55,False
2020-12-03,68,False
2020-12-04,89,False
2020-12-05,64,False
2020-12-06,72,False
2020-12-07,99,False
2020-12-08,59,False
2020-12-09,94,False
2020-12-10,62,False
2020-12-11,63,False
